Description,Index,Scenario,AgentType,Difficulty,TimeToComplete,Strategy,Challenging,GeneralComments,Age,Gender,Occupation,ComputerUsage,DominantHand,EnglishAsFirst,ExpWithRobots,ExpWithRCCars,ExpWithFPS,ExpWithRTS,ExpWithRobotComments,InternalUserID
Pick up the blue block that is farthest on your left.,444,Configuration_7_v1.png,human,5,0:00:14,"At first I looked to see how many there were of the color of the block of interest. Then I looked to see if it was close, far, or to the right or left of the subject. Then I looked to see what blocks were closest around it. That was the order of instruction I followed and it seemed to work well.","The task was intellectually stimulating, but not challenging. Once I thought through the problem, and reread my instructions as if I was the subject, I had a pretty good idea that I was on the right track.","Thanks! Carnegie Mellon is a world class institution and I am proud to say that I am from Pittsburgh (where CMU is located, naturally). Go Steelers!",37,male,Clinical Project Manager,>20,Right,1,2,3,5,4,I've never seen anything beyond what you would see at Disneyworld or the like. I like watching the robot soccer games.,7
Pick up the blue block that's next to a green block.,1056,Configuration_7_v1.png,human,4,0:00:12,"Ideally, I could locate a block in a clear, unambiguous way in relation to the other person, e.g. 'the closest [whatever] block to you.' Failing that, I tried to locate the block in relation to other blocks, in such a way that the position was unique, or at least the most probable of several similar possibilities.","This actually reminded me of a similar block orienting task I did some time ago for Percy Liang at Stanford! (That is, he's at Stanford, not me. I'm just here doing the HITs.) So I didn't find it too challenging based on that prior experience. But when I had to indicate a block of a certain color when there were numerous such blocks next to each other on the table--that was somewhat tricky. I'd be interested to see whether the instructions would be used to correctly identify the indicated block.","With the possible exception of the Australian universities, who are operating on a different pay structure, CMU has the best academic HITs on AMT. Thanks for another one.",35,male,Software quality assurance,>20,Right,1,1,2,5,5,"While I've seen them often enough on television, I don't believe I've ever seen one in person.",1
pick up the blue block that's furthest to your left.,212,Configuration_7_v1.png,human,5,0:00:56,Using a straightforward method that would be easy for anyone to understand.,"I thought it was pretty easy. The most challenging part was when there were a lot of different color blocks grouped together, it made it pretty hard to  explain. ",,27,male,Sound Engineer,>20,Right,1,1,1,2,1,"No, I have not.",29
"Please pick up the blue block that is to your farthest left on the table. It is the one almost directly in front of a green block, and to the left of an orange block.",66,Configuration_7_v1.png,human,2,0:01:29,"The strategy changed slightly based on where the block was located. In the trials with a certain colored block positioned nearest them, I pointed that out, and attempted to clarify by also mentioning the colored block it was directly adjacent to, in front of or behind. On other trials, I mainly used left-right, and adjacency directionals as well.","Some of these were considerably more challenging than I was anticipating. The most challenging trials were definitely the ones with blocks that were positioned further away from the other individual, not entirely on the right, or left, or center, and with analogous chromatic adjacencies. I also found it somewhat challenging to not over-complicate the instructions while still including enough specificity to ensure they would know which block I was referring to. ","Again, some of these were really hard! Also, I tried to catch myself as I realized I was doing it, but I think I may have alternated using the word ""tan"" and ""orange"" interchangeably. Hopefully I caught them all. No additional remarks -- everything ran smooth. ",39,male,Architectural photographer,>20,Right,1,1,1,6,5,"As far as I can recall, I have never seen a robot in person before. I should probably remedy this posthaste because, truth told, I would really, really love to!",213
pick up the blue block on your left.,1393,Configuration_7_v1.png,human,5,0:00:13,"Not really, just addressing each case individually. ",The most challenging tasks were the ones where there were several of the same color bunched together.,,37,male,HR Specalist,>20,Right,1,1,1,6,5,No,913
Pick that Blue Block that is furthest on your left side.,318,Configuration_7_v1.png,human,4,0:00:20,Generally I try to stick to something that is very obvious so the robot will not be confused.  Such as having it grab the certain colored brick closest to the Robot.,It was not super challenging in any way.  Sometimes the wording of instructions was tricky without being too wordy.,Really enjoyed it.  Thanks for posting it!,30,male,Chief Technology Officer,>20,Right,1,3,,7,7,I have seen some Pharmaceutical Robots when I worked in a Pharmacy several years ago.  It automatically filled the prescriptions by going to the dispenser and filling the bottle.,89
pick the blue block on your left,1204,Configuration_7_v1.png,human,,0:00:24,"No, I have not.",It was not challenging.,,30,male,consultant,>20,Right,1,2,4,3,3,I have owned toy robots.,77
Grab the blue block on your left.,1436,Configuration_7_v1.png,human,5,0:00:09,I followed common sense strategies.,Not challenging. Describing different blocks of the same color.,interesting.,25,male,self employed,>20,Left,1,2,2,3,3,no,903
pick up the closest blue block,414,Configuration_7_v1.png,human,5,0:00:10,"Describing where they should begin their search. This is usually closest, furthest, leftmost or rightmost, and going from there.",It wasn't too bad. The challenging part was the ones that were in the center of the table or center of other blocks that are similar color.,,36,male,Warehouse Worker,10/15/2016,Right,1,3,1,7,7,"No, not robots, but I program and I understand how programming languages control mechanical devices to create and move robots and sensors.",85
Pick up the blue block that is furthest to your left.,950,Configuration_7_v1.png,robot,5,0:00:17,"left/right, close/far, color","pretty easy, the hardest was when the block wasn't isolated by color or location",,54,female,mturk,>20,Right,1,1,1,1,1,no,234
Pick the blue block that closest to you,338,Configuration_7_v1.png,robot,4,0:00:17,I looked at the block placement from the robots view and angle and used direction to explain it.,"It was interesting and slightly challenging, relatively easy",,43,female,financial employee,>20,Right,1,1,1,3,2,,80
Pick up the blue block that is to my rightest.,226,Configuration_7_v1.png,robot,5,0:00:20,"I tried using nearby blocks. I also tried using terms such as ""nearest"" and ""farthest"" from either me or from the robot. ",The most challenging aspect was picturing how the robot would see the table form its point of view.,Very interesting HIT! I hope I did it correctly.,22,male,Mechanical Engineer,>20,Right,1,5,3,6,4,"Yes, I have seen robots before and have worked on small-time robot projects at work as well as school. ",222
"I would tell the robot to pick up the blue block on the far right, that is above a green block and to the left of another green block",54,Configuration_7_v1.png,robot,4,0:00:50,I just looked at the table and figured out what i thought would be the best directions.,I found most of it quite challenging but doable.,Thank you. This was quite fun.,32,female,Server Admin,>20,Right,1,3,3,6,6,,212
"Pick up the blue block on your left, which is directly next to the green block.",884,Configuration_7_v1.png,robot,5,0:00:35,"I was viewing the blocks from the robot's point of view and using directions like ""left"" or ""right"" from that point of reference.  I also frequently used words like ""furthest from you"" or ""closest to you"", again from the robot's point of reference.",The most challenging aspect was differentiating a block that was surrounded by other blocks of the same color.,Very interesting study and very enjoyable to complete!,23,female,"Student, Pharmacy technician",>20,Right,1,3,1,2,6,"My high school robotics team always won the top awards in the district and state.  They were so good that there was a classroom completely devoted to the robotics team.  I had a few friends who were on this team, so I was able to observe them once in a while as they were working towards the next competition.",14
Pick up the blue block that is farthest to your left.,126,Configuration_7_v1.png,robot,4,0:00:17,"none really, just described its location and its relation to the other blocks",trying to keep my right and left and the robot's right and left straight,,39,female,unemployed,>20,Right,1,2,3,6,3,not that I can remember,90
Pick up the leftmost blue block.,1522,Configuration_7_v1.png,robot,,0:00:13,After a few rounds I started using the other colored blocks to help me describe the location of the arrow block. Sometimes the specific block was much closer or further than others of the same color and that helped.,The overall task was pretty difficult. I found the most challenging part to be when there were many blocks of the same color that I had to instruct the robot to pick up.,This was hard at times but I had a lot of fun. I feel the study itself was very well designed.,26,female,Pharmacy Technician,>20,Right,1,1,3,5,6,"No, I haven't encountered robots in person yet.",908
Pick up the blue block closest to you.,1218,Configuration_7_v1.png,robot,4,0:00:53,"I did not follow any particular strategy other than going for the most  obvious, simplest instruction.","Some took a few moments of thought, but most were fairly easy.","The study hung once on me (at #7). Reloading the page didn't work, so I had to start again from the beginning.",27,male,Marketer,>20,Left,1,1,1,4,3,"No, only pictures.",76
Pick up the blue block on your left.,1304,Configuration_7_v1.png,robot,5,0:00:24,Not really.,Easy,,31,male,Trader,>20,Right,1,2,2,6,3,no,78
Pick up the blue block to your left side.,378,Configuration_7_v1.png,robot,5,0:00:18,"My strategy was to identify the block color, and location as to left-right and nearest-furthest. After that, I went for the relationship to nearby blocks.",The most challenging aspect was trying to distinguish blocks of the same color in clear English.,"1. I think I wrote down the wrong block color in one of my answers; it was a difficult question and I was looking at a number of different blocks trying to formulate my answer.

2. I notice the difficulty scale had to be clicked twice; once to bring it into focus, and once to make the selection. I am worried that sometimes my selection was not recorded.

3. Thank you for the opportunity, this was an interesting task!",40,male,"Operations Specialist, Provincial Government",>20,Right,1,2,2,6,7,I have not seen robots in person.,86
Pick up the leftmost blue block.,1190,Configuration_7_v1.png,robot,4,0:00:16,"Mostly tried to give commands in spatial terms (closest, furthest) so that they made the most sense (hopefully.)",Reminding myself to give the commands from the perspective of the robot of not of myself.,N/A,29,male,Retail,15-20,Right,1,2,2,7,5,I have not.,208
Pick up the blue block that's on your left side.,956,Configuration_7_v1.png,robot,5,0:00:15,"I separated the table into the robot's left and side sides, as well as close to it or close to me.","It was pretty easy as a whole, but there were a few difficult questions.  It was difficult phrasing some of the positions so that it was easy to understand.",,24,male,Accountant,>20,Right,1,1,1,7,7,I have not.,230
Pick up the only blue block that is on your far left side.,486,Configuration_7_v1.png,robot,4,0:00:22,"I referenced block colors, and the sides of the robot (left side, right side).",It wasn't too challenging overall. The most challenging was when there wasn't a clear way to delineate the block.,This was interesting. I enjoyed the task. Thank you.,52,female,Data Analyst,>20,Right,1,2,1,4,4,N/A,240
Pick up the blue block on your far left.,188,Configuration_7_v1.png,robot,5,0:00:15,I tried to answer with the statements oriented from their point of view/perspective.,The most challenging was when the target block was only near others of the same color.,,28,male,Self-employed,>20,Right,1,1,1,7,3,No.,22
Pick up the blue block in front of the yellow block to your left,1485,Configuration_7_v1.png,robot,3,0:01:00,I mainly trued to give specific directional instructions. Specified block color and area of the table from robots point of view,At first it was hard to get the hang of. I would say it was most difficult when the selected block was surrounded by blocks of the same color or when there was another similar block pattern on the table making it harder to specify which area of the table.,,30,female,caregiver,>20,Right,1,1,1,1,1,,904
Pick up the left blue block,658,Configuration_7_v1.png,robot,5,0:00:09,Directions from their perspective,"easy, hardest was when there were a shit load of same colored blocks that werent aligned ",,20,male,it specialist,>20,Right,1,2,2,7,7,no,68
blue block in front of green block,12,Configuration_7_v1.png,robot,3,0:00:25,no strategy,explaining it right was the most challenging and whether it would understand it or not,great and interesting hit,24,male,mturk,>20,Right,1,2,2,5,4,no such experience,216
Pick up the blue block to your left.,136,Configuration_7_v1.png,robot,,0:00:17,I didn't have much of a strategy.,"It was fairly challenging, especially when there were a lot of blocks of the same color.",,25,female,Office assistant,>20,Right,1,1,,3,2,I haven't.,24
pick up the blue cube closest to your left,574,Configuration_7_v1.png,robot,5,0:00:36,i used closest and furthest often.,the most challenging aspect was trying to find the easiest way to describe the cube i wanted the robot to choose.,one of the images did not load properly..this was extremely fun and cool..thanks,36,male,concierge,>20,Right,1,2,2,7,5,"i seen the robot that sweeps your floor, thats about it",30
Pick up the blue block that is next to the green block.,694,Configuration_7_v1.png,robot,5,0:00:28,"Basically looking at the target block's position, and what's directly around it, if anything.","It was mostly easy.  Some individual tasks that had the target block deeper into the other blocks, especially those of its own color, made the explanation a bit longer.",It was interesting.  Thank you for the opportunity!,24,male,Independent Contractor (Online),>20,Right,1,1,2,4,2,"If the animatronic dinosaurs at the Orlando Islands of Adventure theme park count (and similar things), then yes.",6
Pick up the blue block furthest to your left.,766,Configuration_7_v1.png,robot,5,0:16:50,"I tried to use four quadrants close, far, left, and right.","Some were far more challenging than others, others were fairly simple and easy to take care of.",N/A thanks!,27,male,CFO,>20,Right,1,2,4,6,2,"No, I have not.",226
There is a block on the left side of the pile. Lift your left hand and put it over the table. i will guide you as to what direction and when to pick up the block,1411,Configuration_7_v1.png,robot,4,0:01:10,I figured it would be better if I could guide the robots hand as it moved over the blocks,It was challenging but I think my strategy will workout good,"Thank you, very interesting study",26,female,Accounting,>20,Right,1,1,1,3,3,"No, I have not",912
Pick up the left most purple block.,978,Configuration_7_v1.png,robot,3,0:00:26,"Defining the directions as closest to me, closest to the robot, robot's left, and robot's right. Also, singling out by color first to avoid confusion.",It was somewhat easy. The most challenging aspect was telling it how to grab blocks that were very near each other but not near the edge.,None. It was stimulating.,31,male,Cafe Worker,15-20,Right,1,2,2,7,5,Hmm. Certainly not recently.,232
Take the blue block on the right.,820,Configuration_7_v1.png,robot,5,0:00:10,I tried to find the easiest and most concise explanation I could think of.,"It got pretty tough. Sometimes, the focus block was not situated in a way that was easy to describe in words. ",,33,male,,>20,Right,1,3,3,6,1,I had a friend who built a battlebot years ago and I played with it some.,94
"Looking at the arrangement on the table, please pick up the blue block that is furthest to the right.",544,Configuration_7_v1.png,robot,4,0:00:29,Try to command the robot to focus on a certain area of the table and direct him that way.,"It was quite challenging, especially when there are multiple blocks of the same color in the same area.",,43,male,self-employed,>20,Left,1,3,3,4,4,"I have not seen any robots in person other than the toy servant robots back during the 80s.  I've seen them on television/movies/etc, but I do not have first-hand experience with them.",38
Pick up the second green block from the top,1339,Configuration_7_v2.png,human,5,0:00:42,Tried to find something that would differ the specific cube from others,Moderately challenging at the beginning but it get's easier with practice.,,28,female,Engineer,15-20,Right,1,3,1,5,3,"Yes, I had to build one in one of my classes ",915
pick up the first green block on your left,1360,Configuration_7_v2.png,human,4,0:00:19,using left and right,describing the instructions from their point of view and not mine,,35,female,retail manager,>20,Right,1,2,2,5,4,no,911
I would ask them to pick the block that's to their left.,1467,Configuration_7_v2.png,human,3,0:01:06,No.,I was sort of challenging but nothing I couldn't handle.,Thanks!,31,male,Photographer,15-20,Right,1,5,3,5,5,Yes. The experience was amusing.,901
the green block that is the furthest to your left,1572,Configuration_7_v2.png,human,4,0:00:17,"I made sure to say right and left in relation to THEIR view, not mine","some were really easy, some challenging. the challenging ones had a bunch of the same colored block with the targeted block in center of them",,30,female,homemaker,15-20,Right,1,1,1,2,2,no not really,927
Pick up the green block that is below another green block and right next to a blue block.,35,Configuration_7_v2.png,human,5,0:00:19,No,It was challenging if it was a block surrounded by many other blocks.,,28,female,self-employed,>20,Right,1,1,1,7,5,,215
From your perspective i would pick the farthest green cube to your left.,81,Configuration_7_v2.png,human,4,0:00:12,I used the colors and there directions from their perspective.,Trying to identify a cube within the same cluster of cubes that are the same color,,25,male,engineer,10/15/2016,Right,1,2,2,3,3,Yes just lego robots i bought.,211
Please pick up the green block on your left hand side that is closer to you.,209,Configuration_7_v2.png,human,3,0:00:25,"I did not observe that, I was just trying to make it simple for the person across from me. ",Fairly difficult. I found trying to explain the layout to be challenging.,"This has been a very unique and fun HIT, thank you for the work. ",35,male,Retail sales manager,>20,Right,1,2,4,7,5,"I have seen toy robots that I had as a kid int he 80's, but nothing like what they are developing these days in person it would be fun to see them in person.",23
"Of the two green boxes that are on your left, choose the one that is closer to you.",329,Configuration_7_v2.png,human,4,0:00:22,"If the box was a color that was closest to either of us, that would be the easiest strategy to go with. ",It was challenging when there were several of the same color surrounding the targeted box. It was hard to describe to them which one to pick.,Thanks for the HIT! This was unique and fun! I enjoyed doing it.,23,female,Sales,>20,Right,1,2,1,2,5,No,83
Pick up the green block that is below another green block.,501,Configuration_7_v2.png,human,4,0:00:31,I used relative positions,Moderately challenging to ensure correct block is chosen,,23,male,student,>20,Right,1,5,3,7,5,I have built and programmed robots to perform simple tasks like solving a maze or following a line on the ground.,243
Pick up the green block near to the blue block.,529,Configuration_7_v2.png,human,4,0:00:22,I try to mention the near by blocks colour. So It will easy to pick up the right one.,Some are easy and are very hard to explain.,Interesting study. Thank you.,35,male,Marketing,>20,Right,0,2,2,5,5,No I didn't seen any robots in my real life.,39
Pick up the green block on the left that is south of another green block.,631,Configuration_7_v2.png,human,4,0:00:29,Looking at other blocks around it.,When there are a lot of blocks with the same color around the target block.,,25,male,programmer,>20,Right,1,3,3,5,5,no,67
pick up the green block on your left closest to you.,707,Configuration_7_v2.png,human,2,0:00:10,No,"Hard, it was hard to remember who I was and whose right and left it was on.",,32,male,Retail,>20,Right,1,2,2,2,2,no,99
Pick up the green block closest to you on your left,717,Configuration_7_v2.png,human,5,0:00:17,Not that I was aware of,Was not extremely challenging. The most challenging aspect was figuring out how to describe a block that was surrounded by blocks of the same color,,37,female,Sales Manager,>20,Right,1,1,1,2,5,No,229
"In front of me, to my right, are two green blocks. Pick up the first green block you see.",781,Configuration_7_v2.png,human,3,0:01:02,"No, I just tried to describe the location of the indicated block as precisely as possible.",It was a little difficult to use the right words to correctly describe where the block was.,,42,female,Medical Records Technician,>20,Right,1,1,1,4,3,No,93
The block you want is the furthest one on the right.  You could take your arm all the way to the right and the first one you touch when coming in will be the one you want.,827,Configuration_7_v2.png,human,3,0:01:02,trying to describe colors around the block,quite challenging.  some of them were pretty easy but over all it was difficult,i missed one of them by accidently clicking the button twice in a row and having it skip,33,male,Measurement,>20,Right,1,2,5,7,5,,221
You are to pick up the green block on your left side. It is below the green block that stands alone and furthest away and is touching a blue block.,865,Configuration_7_v2.png,human,4,0:00:48,I just spoke as if I was speaking to a real person.,"It was not terribly challenging. My biggest problem was remembering which was ""his"" right or left side.",That was fun!,61,female,Administrative support,>20,Right,1,1,1,1,1,I have not seen a robot except for at Walt Disney World many years ago and my experience was just to watch it.,13
"Pick up the green block that is on the far left side, but is the closer one to you.",993,Configuration_7_v2.png,human,2,0:00:51,I tried to imagine that I was the one receiving the instructions to make sure I could follow them.,Not too challenging. It was more challenging when there was more than one block that could meet many of the criteria.,Thank you!,56,female,homemaker,>20,Right,1,5,3,5,5,I own a robot vacuum and I've seen them at the tech center. That is about my experience with robots.,233
Pick up the green block that is right next to the blue block.,1011,Configuration_7_v2.png,human,4,0:00:12,"Trying to use as much descriptive language, pointing out where blocks are related to each other and what color they are. ",It was actually kind of easy. It was hardest when groups of the same color block were close to each other.,It was pretty fun and rather well paid compared to most.,32,male,Retail Manager,>20,Right,1,2,1,6,7,No,49
"Stand up, walk the the side of the table that's on your left, and pick up the green block closest to you.",1041,Configuration_7_v2.png,human,,0:00:33,My only strategy was to try to make it seem as straight forward and simplistic as possible for the one who had to pick up the blocks.,It wasn't very challenging. Probably the repetitiveness of it was the hardest.,It was interesting. Thank you.,32,male,Accountant,10/15/2016,Right,1,7,5,5,5,I have not.,41
Pick up the green block that is farthest to your left,1067,Configuration_7_v2.png,human,3,0:00:23,"Divide the table into left and right, near and far. So four quadrants to describe where the chosen block was located.  Also using numbering when necessary to indicate which block i.e. ""second yellow block from the left""",Somewhat challenging.  It was most difficult when there were multiple blocks of the same color located close together and you had to find a way to descriptively single out one from the others.,"It was fun, was not expecting to enjoy it as much as I did.",34,female,Attorney,10/15/2016,Right,1,1,1,2,2,No,9
"Of the two green blocks on your left side, grab the closer one.",1161,Configuration_7_v2.png,human,5,0:00:20,I thought the best strategy was to explain things from the point of view of the person.,I did not find in that challenging except occasionally when you had to explain to grab a block in a cluster of similarly colored blocks.,This was really fun and interesting. Thanks,24,male,Programmer,>20,Right,1,4,2,4,3,"I took a class in college where I had to design Autonomous robots, including a claw to pick up objects and a car that had to follow a path.",207
the green block next to the blue block,1167,Configuration_7_v2.png,human,4,0:00:20,I just tried to guide the person to the correct place.,it was not too bad.,Nothing more to add,26,female,sales,15-20,Right,1,2,2,5,4,"yes, they are mostly everywhere not like the traditional hollywood sense. But there is variations of one just about everywhere you look.",209
Pickup the green block that is the farthest to the right.,1231,Configuration_7_v2.png,human,3,0:00:19,I try to say a color and then where the block is positioned to the rest of that color.,The most challenging was when the block was near other blocks of the same color and not much of an outlier.,,31,male,,>20,Right,1,6,4,6,6,Building stuff in mechanical engineering courses.,75
green block furthest to the right just below the blue block.,163,Configuration_7_v2.png,robot,4,0:00:21,"Yes, I used the blocks below that were adjacent to the block selected.",I thought it was a bit challenging especially trying to describe the position.,No comments.,28,male,Retail sales,15-20,Left,1,3,5,5,6,"No, I have not seen any robots in person.  I have seen some robots but it was not the actual working type.",20
Grab the right-most green block.,143,Configuration_7_v2.png,robot,5,0:00:15,I usually used the sides as a reference point. I would say left-most and right-most as directions.,"I do not think the task was very challenging at all. If the blocks were less clustered by color, and assorted randomly, it would be more difficult.",,25,male,Retail,10/15/2016,Right,1,5,4,7,7,"Nothing more than very simple, non-human-like robots.",26
"Find the green block that is farthest from you. Now, pick up the green block that is just in front of that far green block.",265,Configuration_7_v2.png,robot,2,0:00:55,"Several strategies:
- Pick out ALL the blocks of the same color as the target block
- THEN, identify target block by distance from robot (e.g., closest/farthest blue)
- OR, identify target block by relationship to other blocks of same color (e.g., rightmost blue)","Needing multiple steps to identify target block, hoping that robot understood ""pick out the three blue blocks that are adjacent to one another"" was NOT an action command but instead a preliminary step of defining a subset.",,54,female,teacher,10/15/2016,Right,1,1,1,1,1,"No, only a handful of short videos.",8
Pick up the furthest green block on your left.,1425,Configuration_7_v2.png,robot,5,0:00:52,No strategies,I found some to be more difficult than others depending how many blocks were grouped together.,Thanks! This was interesting!,38,female,self employed,>20,Right,1,1,1,5,5,No,902
Pick up the far right green block that is close to the blue block and before the farthest green block.,459,Configuration_7_v2.png,robot,2,0:00:55,I tried to give location and then surrounding objects as well as what side or in center (of the robot) they are located.,"It was challenging to be specific but not confusing and to remember which sides for the robot versus my perspective.  I am sure I mixed up at least one saying the robot's right side, but was supposed to be left.  Was challenging to tell my brain to see it from the other side of the table.",Great task.  Enjoyed the challenge and nice user format.  Interesting. No issues everything ran well.  Thank you.,48,female,Teacher,>20,Right,1,2,4,6,5,"No I haven't, but I would love to see or even experience using one.",244
Look for a green block. Pick up the green block that is furthest to the left of you.,1027,Configuration_7_v2.png,robot,4,0:00:34,I found myself navigating the robot with direction in relation to them.,Some of the last few questions were a little difficult. The direction didn't always help as much as previous questions.,I don't have any additional comments.,25,male,Sales Associate,10/15/2016,Right,1,2,3,6,6,I have not seen robots in person before.,40
"Pick up the green block that is the furthest to your left, and next to the blue block.",1267,Configuration_7_v2.png,robot,4,0:00:27,I tried to give the instructions from the other person's point of view and as descriptively as possible.,"It was challenging to explain which block I wanted the other person to pick up, but quite a fun task!",Thank you for letting me participate.,42,male,Customer Service Rep,>20,Right,1,2,2,5,5,"Just common household robots like a Roomba cleaner. Otherwise, no.",72
There is a small grouping of two green blocks to your left. Pick up the block that is closer to the blue block next to that group.,1444,Configuration_7_v2.png,robot,4,0:00:23,"Find color patterns that are nearby to use as references, then direct the robot to the block closest to those.","The most challenging aspect was how to use simple terms and language that made sense. Overall some of it was very easy, but there were certainly challenging aspects to a number of the scenarios. I had to make sure when I gave directions to include the orientation of the robot, which is the reverse of mine.","The instructions were not the most clear, but I hope I did them correct.",25,male,Student,>20,Right,1,2,3,7,7,Not that I can recall.,900
Pick up the leftmost green block.,267,Configuration_7_v2.png,robot,5,0:00:18,I tried to be as direct as possible.,Most of them were pretty easy. I had no trouble with any of them.,Fun stuff actually.,29,female,Educator,>20,Right,1,2,1,2,1,I've been around a roomba before. That's about all.,58
All the way to your left is a green block with another green block behind it. Pick up the green block in front of the farthest green one.,1081,Configuration_7_v2.png,robot,3,0:00:30,Not particularly.,The most challenging aspect was switching views of right and left from the other side of the table.,Thank you so much! :D :D :D :D This was truly enjoyable and a lot of fun!,22,female,holistic canine practitioner,>20,Right,1,2,2,2,2,no,200
Pick up the green block that is directly to the left of the blue block and below another green block.,509,Configuration_7_v2.png,robot,4,0:00:50,"I tried to take the perspective of the robot when giving commands, so what appeared to be on the right from MY perspective would be on the left for the robot's perspective. When giving commands, I used the robot's perspective to try to increase the accuracy of the issued commands.","The most challenging aspect was trying to describe which block the robot should pick up when the indicated block was surrounded by other blocks of the same color. Trying to give accurate descriptions using surrounding colors was tricky, e.g.: ""the blue block directly below a yellow block,"" etc.",,29,male,Financial analyst,>20,Right,1,2,2,3,3,Not applicable,242
Pick the green block which is the farthest to my right.,741,Configuration_7_v2.png,robot,4,0:00:38,Tried to view if from my side and the robots side and then see which one would be easier. Then see what was around the selected block to see how I would point out the block.,To select which words would make it easier to find to block.,None,34,female,Tech Support,>20,Right,1,1,1,3,4,No.,228
Pick up the green block that is second closest to my right side.,1293,Configuration_7_v2.png,robot,3,0:00:34,No I just tried to think how I would follow my instructions.,It was harder than I thought it would be.,I had to do it a second time it froze on the first try. I am using Chrome .,60,female,Homemaker,>20,Right,1,1,1,5,3,No I haven't just seen some YouTube videos of them.,70
Pick up the bottom green block on your left.,1378,Configuration_7_v2.png,robot,4,0:00:14,"No specific strategy, just trying to explain it as well as I could.",Some parts were a little tricky but it wasn't too challenging.,,29,male,Construction,>20,Right,1,3,2,7,5,I can't recall being close to a robot in person.,910
Please pick up the green block closest to you on the left side of the table.,619,Configuration_7_v2.png,robot,4,0:00:24,"I try to make sure I mention the location of the block, whether it is on the left or right side of the table.","It was challenging, but I think it got easier as I got used to it.  The most challenging aspect was trying to describe where a block was when it was surrounded by other blocks of the same color.",none.,34,female,Customer Service Rep,15-20,Left,1,2,2,3,5,No,66
Pick up the green block that is the farthest to the left.,1477,Configuration_7_v2.png,robot,4,0:00:34,I just tried to be consistent in my instructions.,Specifying a block in the middle of a group of similarly colored ones was hard.,none,31,male,systems administrator,>20,Right,1,1,1,7,5,,906
On the left side pick up the green block that is closest to you.,931,Configuration_7_v2.png,robot,5,0:00:25,No strategies really.,It wasn't very challenging.,,27,male,Unemployed,>20,Right,1,1,1,5,3,No,238
Pick up the leftmost green block. This block is next to the leftmost blue block.,851,Configuration_7_v2.png,robot,3,0:00:27,Describing blocks based on their location on the table on proximity to the robot.,It was fairly challenging. The most challenging aspect was describing blocks that were in the middle of the table.,n/a,29,male,Edicatopm,10/15/2016,Right,1,2,1,4,3,no,220
Pick up the left-most green block from your perspective.,1237,Configuration_7_v2.png,robot,4,0:00:45,"I'm not sure that I developed a specific strategy, other than observing what made a particular block's position unique and unambiguous.","The task was somewhat challenging. The most difficult positions to describe seemed to be the ones that were adjacent to similarly colored blocks, and that were second from one's right, or third...the instructions seemed too wordy in those cases.",,37,female,E-Commerce Manager,>20,Right,1,1,1,3,1,"No, I've not.",74
Pick up the next to farthest away green block,1566,Configuration_7_v2.png,robot,4,0:00:17,I went with describing how far away it was.,Somewhat easy.,I love you,28,male,mturker,>20,Left,1,1,1,6,4,no,926
Pick up the 1st green block on your left,403,Configuration_7_v2.png,robot,4,0:00:22,"Using terms right. left, closest .furthest",Not too bad. Could have probably worded nicer,Was pretty cool - thanks,58,male,cashier,15-20,Right,1,2,1,1,1,"No, would like to",84
Narrow search to only green blocks. Find the green block that is closest to the left edge of the table. Pick it up.,791,Configuration_7_v2.png,robot,5,0:00:34,I found that right and left directions were extremely helpful and I described the blocks in question in terms of the edges of the table.,I thought that the blocks that were nearer to the middle of the table in every direction was the most difficult to answer.,,29,female,Customer Service Representative,15-20,Right,1,1,2,5,5,,92
Pick up the leftmost block.,923,Configuration_7_v2.png,robot,4,0:00:19,Using proximity for any blocks that were not outliers was my most used strategy.,It was mildly challenging. The hardest part was dealing with blocks nearer to the middle.,,34,male,Manager,>20,Right,1,3,3,7,7,No.,18
Pick up the green block farthest to your left.,301,Configuration_7_v2.png,robot,4,0:00:17,"Using close and far, using left and right, using center.","It was of average difficulty. The most challenging aspect was getting past some of the ugly, awkward language required to describe the tasks, without making the instructions incredibly long.",A2WGW5Y3ZFBDEC,45,male,insurance processor,>20,Right,1,2,3,5,7,No.,88
On the left side there is two green blocks. You want to select the green one nearest you.,1115,Configuration_7_v2.png,robot,4,0:00:26,"Just counting the blocks that are together, and by their colors. ",It really wasn't too challenging. It was fun.  Just had to think about it sometimes.,,39,female,Accounts Rec/Payable,>20,Left,,1,3,1,3,"No, I have not.",202
There are two green blocks on the left side of the table - pick up the one that's closer to you.,607,Configuration_7_v2.png,robot,4,0:01:10,"I tried to use the colors of the blocks, cardinal directions, and indicators of relative closeness and distance, mostly.","The task was pretty easy, although it was harder when there were a lot of blocks that were the same color, or when you had to describe ""formations"" of blocks in a meaningful way.","None, thanks.",25,male,Jr Accountant,>20,Right,1,4,3,6,5,"I've seen various types of robotic toys and robots in industrial settings. I think they are pretty interesting, in general.",34
