Description,Scenario,AgentType,Difficulty,TimeToComplete,Strategy,Challenging,GeneralComments,Age,Gender,Occupation,ComputerUsage,DominantHand,EnglishAsFirst,ExpWithRobots,ExpWithRCCars,ExpWithFPS,ExpWithRTS,ExpWithRobotComments,InternalUserID,RosariosComments
"Pick up the orange block that is the furthest away, and which is next to the single yellow block.",Configuration_5_v1.png,robot,3,0:01:07,"Basically looking at the target block's position, and what's directly around it, if anything.","It was mostly easy.  Some individual tasks that had the target block deeper into the other blocks, especially those of its own color, made the explanation a bit longer.",It was interesting.  Thank you for the opportunity!,24,male,Independent Contractor (Online),>20,Right,1,1,2,4,2,"If the animatronic dinosaurs at the Orlando Islands of Adventure theme park count (and similar things), then yes.",6,
Pick up the green block that is closest to you.,Configuration_9_v2.png,robot,5,0:00:22,"Basically looking at the target block's position, and what's directly around it, if anything.","It was mostly easy.  Some individual tasks that had the target block deeper into the other blocks, especially those of its own color, made the explanation a bit longer.",It was interesting.  Thank you for the opportunity!,24,male,Independent Contractor (Online),>20,Right,1,1,2,4,2,"If the animatronic dinosaurs at the Orlando Islands of Adventure theme park count (and similar things), then yes.",6,
Pick up the blue block that is next to the green block.,Configuration_7_v1.png,robot,5,0:00:28,"Basically looking at the target block's position, and what's directly around it, if anything.","It was mostly easy.  Some individual tasks that had the target block deeper into the other blocks, especially those of its own color, made the explanation a bit longer.",It was interesting.  Thank you for the opportunity!,24,male,Independent Contractor (Online),>20,Right,1,1,2,4,2,"If the animatronic dinosaurs at the Orlando Islands of Adventure theme park count (and similar things), then yes.",6,
"Pick up the green block in the center that is in front of the yellow block, and next to the blue block.",Configuration_8_v2.png,robot,3,0:00:51,"Basically looking at the target block's position, and what's directly around it, if anything.","It was mostly easy.  Some individual tasks that had the target block deeper into the other blocks, especially those of its own color, made the explanation a bit longer.",It was interesting.  Thank you for the opportunity!,24,male,Independent Contractor (Online),>20,Right,1,1,2,4,2,"If the animatronic dinosaurs at the Orlando Islands of Adventure theme park count (and similar things), then yes.",6,
Pick up the blue block that is slightly to the side of the closest orange block to you.,Configuration_2_v1.png,robot,3,0:01:04,"Basically looking at the target block's position, and what's directly around it, if anything.","It was mostly easy.  Some individual tasks that had the target block deeper into the other blocks, especially those of its own color, made the explanation a bit longer.",It was interesting.  Thank you for the opportunity!,24,male,Independent Contractor (Online),>20,Right,1,1,2,4,2,"If the animatronic dinosaurs at the Orlando Islands of Adventure theme park count (and similar things), then yes.",6,
"Pick up the blue block that is the furthest away from you, directly behind the yellow block.",Configuration_12_v2.png,robot,5,0:00:40,"Basically looking at the target block's position, and what's directly around it, if anything.","It was mostly easy.  Some individual tasks that had the target block deeper into the other blocks, especially those of its own color, made the explanation a bit longer.",It was interesting.  Thank you for the opportunity!,24,male,Independent Contractor (Online),>20,Right,1,1,2,4,2,"If the animatronic dinosaurs at the Orlando Islands of Adventure theme park count (and similar things), then yes.",6,
Pick up the single yellow block on the entire table.,Configuration_1_v1.png,robot,5,0:00:30,"Basically looking at the target block's position, and what's directly around it, if anything.","It was mostly easy.  Some individual tasks that had the target block deeper into the other blocks, especially those of its own color, made the explanation a bit longer.",It was interesting.  Thank you for the opportunity!,24,male,Independent Contractor (Online),>20,Right,1,1,2,4,2,"If the animatronic dinosaurs at the Orlando Islands of Adventure theme park count (and similar things), then yes.",6,
Pick up the yellow block that is the second furthest from the orange block closest to you.,Configuration_4_v2.png,robot,3,0:01:09,"Basically looking at the target block's position, and what's directly around it, if anything.","It was mostly easy.  Some individual tasks that had the target block deeper into the other blocks, especially those of its own color, made the explanation a bit longer.",It was interesting.  Thank you for the opportunity!,24,male,Independent Contractor (Online),>20,Right,1,1,2,4,2,"If the animatronic dinosaurs at the Orlando Islands of Adventure theme park count (and similar things), then yes.",6,
"Pick up the blue block that is in front of and next to the yellow block, spaced further away from the rest of the blue blocks.",Configuration_14_v1.png,robot,4,0:01:10,"Basically looking at the target block's position, and what's directly around it, if anything.","It was mostly easy.  Some individual tasks that had the target block deeper into the other blocks, especially those of its own color, made the explanation a bit longer.",It was interesting.  Thank you for the opportunity!,24,male,Independent Contractor (Online),>20,Right,1,1,2,4,2,"If the animatronic dinosaurs at the Orlando Islands of Adventure theme park count (and similar things), then yes.",6,
Pick up the green block closest to me,Configuration_1_v2.png,human,5,0:00:12,No,"Hard, it was hard to remember who I was and whose right and left it was on.",,32,male,Retail,>20,Right,1,2,2,2,2,no,99,
Pick up the orange block on the far right,Configuration_5_v1.png,human,5,0:00:14,No,"Hard, it was hard to remember who I was and whose right and left it was on.",,32,male,Retail,>20,Right,1,2,2,2,2,no,99,
Pick up the green block on the far right,Configuration_3_v2.png,human,4,0:00:15,No,"Hard, it was hard to remember who I was and whose right and left it was on.",,32,male,Retail,>20,Right,1,2,2,2,2,no,99,
Pick up the yellow block that is in between the right side of you and me,Configuration_11_v1.png,human,1,0:00:21,No,"Hard, it was hard to remember who I was and whose right and left it was on.",,32,male,Retail,>20,Right,1,2,2,2,2,no,99,
pick up the blue block that is closest to me on your right,Configuration_12_v2.png,human,,0:00:13,No,"Hard, it was hard to remember who I was and whose right and left it was on.",,32,male,Retail,>20,Right,1,2,2,2,2,no,99,
pick up the orange block closest to me,Configuration_10_v1.png,human,5,0:00:10,No,"Hard, it was hard to remember who I was and whose right and left it was on.",,32,male,Retail,>20,Right,1,2,2,2,2,no,99,
pick up the green block on your left closest to you.,Configuration_7_v2.png,human,2,0:00:10,No,"Hard, it was hard to remember who I was and whose right and left it was on.",,32,male,Retail,>20,Right,1,2,2,2,2,no,99,
pick up the green block closest to me,Configuration_9_v1.png,human,5,0:00:08,No,"Hard, it was hard to remember who I was and whose right and left it was on.",,32,male,Retail,>20,Right,1,2,2,2,2,no,99,
"pick up the yellow block that is on your right, but not the one that is furthest right, but the one next to it.",Configuration_4_v2.png,human,1,0:00:24,No,"Hard, it was hard to remember who I was and whose right and left it was on.",,32,male,Retail,>20,Right,1,2,2,2,2,no,99,
pick up the orange block closest to you.,Configuration_13_v1.png,human,4,0:00:14,No,"Hard, it was hard to remember who I was and whose right and left it was on.",,32,male,Retail,>20,Right,1,2,2,2,2,no,99,
"pick up the green block on your right but not the furthest right, pick up the one next to the far right one.",Configuration_6_v2.png,human,1,0:00:27,No,"Hard, it was hard to remember who I was and whose right and left it was on.",,32,male,Retail,>20,Right,1,2,2,2,2,no,99,
pick up the blue block that is second to the farthest left.,Configuration_2_v1.png,human,,0:00:15,No,"Hard, it was hard to remember who I was and whose right and left it was on.",,32,male,Retail,>20,Right,1,2,2,2,2,no,99,
pick up the green block that is directly in the center of all the blocks.,Configuration_8_v2.png,human,4,0:00:15,No,"Hard, it was hard to remember who I was and whose right and left it was on.",,32,male,Retail,>20,Right,1,2,2,2,2,no,99,
pick up the blue block that is farthest to your right,Configuration_14_v1.png,human,5,0:00:17,No,"Hard, it was hard to remember who I was and whose right and left it was on.",,32,male,Retail,>20,Right,1,2,2,2,2,no,99,
Pick up the third blue block from your left,Configuration_2_v2.png,human,4,0:00:38,Not that I was aware of,Was not extremely challenging. The most challenging aspect was figuring out how to describe a block that was surrounded by blocks of the same color,,37,female,Sales Manager,>20,Right,1,1,1,2,5,No,229,
Pick up the green block right in front of you,Configuration_3_v1.png,human,5,0:00:16,Not that I was aware of,Was not extremely challenging. The most challenging aspect was figuring out how to describe a block that was surrounded by blocks of the same color,,37,female,Sales Manager,>20,Right,1,1,1,2,5,No,229,
Pick up the green block closest to you on your left,Configuration_7_v2.png,human,5,0:00:17,Not that I was aware of,Was not extremely challenging. The most challenging aspect was figuring out how to describe a block that was surrounded by blocks of the same color,,37,female,Sales Manager,>20,Right,1,1,1,2,5,No,229,
Pick up the orange block all the way in the back on your left,Configuration_10_v1.png,human,5,0:00:17,Not that I was aware of,Was not extremely challenging. The most challenging aspect was figuring out how to describe a block that was surrounded by blocks of the same color,,37,female,Sales Manager,>20,Right,1,1,1,2,5,No,229,
Pick up the blue block closest to you,Configuration_11_v2.png,human,5,0:00:12,Not that I was aware of,Was not extremely challenging. The most challenging aspect was figuring out how to describe a block that was surrounded by blocks of the same color,,37,female,Sales Manager,>20,Right,1,1,1,2,5,No,229,
Pick up the blue block all the way in the back on the left,Configuration_12_v1.png,human,4,0:00:26,Not that I was aware of,Was not extremely challenging. The most challenging aspect was figuring out how to describe a block that was surrounded by blocks of the same color,,37,female,Sales Manager,>20,Right,1,1,1,2,5,No,229,
Pick up the yellow block all the way in the back,Configuration_5_v2.png,human,5,0:00:13,Not that I was aware of,Was not extremely challenging. The most challenging aspect was figuring out how to describe a block that was surrounded by blocks of the same color,,37,female,Sales Manager,>20,Right,1,1,1,2,5,No,229,
Pick up the orange block closest to you,Configuration_13_v1.png,human,5,0:00:24,Not that I was aware of,Was not extremely challenging. The most challenging aspect was figuring out how to describe a block that was surrounded by blocks of the same color,,37,female,Sales Manager,>20,Right,1,1,1,2,5,No,229,
Pick up the green block in the center nest to the blue block,Configuration_8_v2.png,human,4,0:00:24,Not that I was aware of,Was not extremely challenging. The most challenging aspect was figuring out how to describe a block that was surrounded by blocks of the same color,,37,female,Sales Manager,>20,Right,1,1,1,2,5,No,229,
Pick up the yellow block that is right beside the blue block on the right,Configuration_4_v1.png,human,3,0:00:26,Not that I was aware of,Was not extremely challenging. The most challenging aspect was figuring out how to describe a block that was surrounded by blocks of the same color,,37,female,Sales Manager,>20,Right,1,1,1,2,5,No,229,
Pick up the blue block that is right behind the green block closest to you,Configuration_14_v2.png,human,4,0:00:22,Not that I was aware of,Was not extremely challenging. The most challenging aspect was figuring out how to describe a block that was surrounded by blocks of the same color,,37,female,Sales Manager,>20,Right,1,1,1,2,5,No,229,
Pick up the third green block on your left,Configuration_6_v1.png,human,4,0:00:23,Not that I was aware of,Was not extremely challenging. The most challenging aspect was figuring out how to describe a block that was surrounded by blocks of the same color,,37,female,Sales Manager,>20,Right,1,1,1,2,5,No,229,
Pick up the green block directly in front of you,Configuration_9_v2.png,human,5,0:00:13,Not that I was aware of,Was not extremely challenging. The most challenging aspect was figuring out how to describe a block that was surrounded by blocks of the same color,,37,female,Sales Manager,>20,Right,1,1,1,2,5,No,229,
Pick up the yellow block,Configuration_1_v1.png,human,5,0:00:09,Not that I was aware of,Was not extremely challenging. The most challenging aspect was figuring out how to describe a block that was surrounded by blocks of the same color,,37,female,Sales Manager,>20,Right,1,1,1,2,5,No,229,
Pick up the orange block closest to me.,Configuration_10_v2.png,robot,4,0:00:36,Tried to view if from my side and the robots side and then see which one would be easier. Then see what was around the selected block to see how I would point out the block.,To select which words would make it easier to find to block.,None,34,female,Tech Support,>20,Right,1,1,1,3,4,No.,228,
Pick up the blue block that is closest to the right side of the table.,Configuration_14_v1.png,robot,2,0:01:47,Tried to view if from my side and the robots side and then see which one would be easier. Then see what was around the selected block to see how I would point out the block.,To select which words would make it easier to find to block.,None,34,female,Tech Support,>20,Right,1,1,1,3,4,No.,228,
Pick up the green block farthest away from you.,Configuration_3_v2.png,robot,4,0:00:25,Tried to view if from my side and the robots side and then see which one would be easier. Then see what was around the selected block to see how I would point out the block.,To select which words would make it easier to find to block.,None,34,female,Tech Support,>20,Right,1,1,1,3,4,No.,228,
Pick up the yellow block that is between the green block and the blue block.,Configuration_11_v1.png,robot,4,0:01:00,Tried to view if from my side and the robots side and then see which one would be easier. Then see what was around the selected block to see how I would point out the block.,To select which words would make it easier to find to block.,None,34,female,Tech Support,>20,Right,1,1,1,3,4,No.,228,
Pick up the green block that is between the green block and the blue block and behind the yellow block.,Configuration_8_v2.png,robot,1,0:01:51,Tried to view if from my side and the robots side and then see which one would be easier. Then see what was around the selected block to see how I would point out the block.,To select which words would make it easier to find to block.,None,34,female,Tech Support,>20,Right,1,1,1,3,4,No.,228,
Pick up the green block that is in the middle of  the group of 5 green blocks.,Configuration_6_v1.png,robot,2,0:00:46,Tried to view if from my side and the robots side and then see which one would be easier. Then see what was around the selected block to see how I would point out the block.,To select which words would make it easier to find to block.,None,34,female,Tech Support,>20,Right,1,1,1,3,4,No.,228,
Pick up the yellow block that is between the green block and the yellow block.,Configuration_13_v2.png,robot,4,0:00:29,Tried to view if from my side and the robots side and then see which one would be easier. Then see what was around the selected block to see how I would point out the block.,To select which words would make it easier to find to block.,None,34,female,Tech Support,>20,Right,1,1,1,3,4,No.,228,
Pick the green block farthest away from you.,Configuration_9_v1.png,robot,4,0:00:19,Tried to view if from my side and the robots side and then see which one would be easier. Then see what was around the selected block to see how I would point out the block.,To select which words would make it easier to find to block.,None,34,female,Tech Support,>20,Right,1,1,1,3,4,No.,228,
Pick up the yellow block which is between two yellow blocks and beside a blue block.,Configuration_4_v2.png,robot,1,0:01:27,Tried to view if from my side and the robots side and then see which one would be easier. Then see what was around the selected block to see how I would point out the block.,To select which words would make it easier to find to block.,None,34,female,Tech Support,>20,Right,1,1,1,3,4,No.,228,
Pick up the orange block farthest away from you.,Configuration_5_v1.png,robot,4,0:00:23,Tried to view if from my side and the robots side and then see which one would be easier. Then see what was around the selected block to see how I would point out the block.,To select which words would make it easier to find to block.,None,34,female,Tech Support,>20,Right,1,1,1,3,4,No.,228,
Pick up the blue block closest to me.,Configuration_12_v2.png,robot,4,0:00:14,Tried to view if from my side and the robots side and then see which one would be easier. Then see what was around the selected block to see how I would point out the block.,To select which words would make it easier to find to block.,None,34,female,Tech Support,>20,Right,1,1,1,3,4,No.,228,
Pick up the yellow block.,Configuration_1_v1.png,robot,5,0:00:12,Tried to view if from my side and the robots side and then see which one would be easier. Then see what was around the selected block to see how I would point out the block.,To select which words would make it easier to find to block.,None,34,female,Tech Support,>20,Right,1,1,1,3,4,No.,228,
Pick the green block which is the farthest to my right.,Configuration_7_v2.png,robot,4,0:00:38,Tried to view if from my side and the robots side and then see which one would be easier. Then see what was around the selected block to see how I would point out the block.,To select which words would make it easier to find to block.,None,34,female,Tech Support,>20,Right,1,1,1,3,4,No.,228,
Pick up the blue block that is in front of the orange block.,Configuration_2_v1.png,robot,4,0:00:48,Tried to view if from my side and the robots side and then see which one would be easier. Then see what was around the selected block to see how I would point out the block.,To select which words would make it easier to find to block.,None,34,female,Tech Support,>20,Right,1,1,1,3,4,No.,228,
Pick up the green block to the right or the blu block in the middle.,Configuration_8_v2.png,human,4,0:00:37,No specific strategy really.,"Some were challenging, but not too hard.",,40,no answer,Data Processor,>20,Right,1,1,2,6,6,Yes. The place I used to work had a robot that stacked and wrapped pallets.,227,
Pick up the blue block directly to the left of the orange block at the bottom left side of the table.,Configuration_2_v1.png,human,4,0:00:50,No specific strategy really.,"Some were challenging, but not too hard.",,40,no answer,Data Processor,>20,Right,1,1,2,6,6,Yes. The place I used to work had a robot that stacked and wrapped pallets.,227,
Pick up the yellow block directly to the right of the bottom green block,Configuration_13_v2.png,human,4,0:00:46,No specific strategy really.,"Some were challenging, but not too hard.",,40,no answer,Data Processor,>20,Right,1,1,2,6,6,Yes. The place I used to work had a robot that stacked and wrapped pallets.,227,
Pick up the yellow block directly to the left of the rightmost blue block.,Configuration_4_v1.png,human,4,0:00:39,No specific strategy really.,"Some were challenging, but not too hard.",,40,no answer,Data Processor,>20,Right,1,1,2,6,6,Yes. The place I used to work had a robot that stacked and wrapped pallets.,227,
Pick up ht blue block to the bottom left of the rightmost yellow block.,Configuration_11_v2.png,human,3,0:00:46,No specific strategy really.,"Some were challenging, but not too hard.",,40,no answer,Data Processor,>20,Right,1,1,2,6,6,Yes. The place I used to work had a robot that stacked and wrapped pallets.,227,
Pick up the green block to the upper left of the yellow block that is at  the upper left of the yellow block to the left of the orange block at the bottom right of the table,Configuration_6_v1.png,human,1,0:01:14,No specific strategy really.,"Some were challenging, but not too hard.",,40,no answer,Data Processor,>20,Right,1,1,2,6,6,Yes. The place I used to work had a robot that stacked and wrapped pallets.,227,
Pick up the topmost blue block,Configuration_12_v2.png,human,5,0:00:20,No specific strategy really.,"Some were challenging, but not too hard.",,40,no answer,Data Processor,>20,Right,1,1,2,6,6,Yes. The place I used to work had a robot that stacked and wrapped pallets.,227,
Pick up the orange block that is directly next to the orange block,Configuration_5_v1.png,human,4,0:00:46,No specific strategy really.,"Some were challenging, but not too hard.",,40,no answer,Data Processor,>20,Right,1,1,2,6,6,Yes. The place I used to work had a robot that stacked and wrapped pallets.,227,
pick up the green block underneath the two uppermost blue blocks,Configuration_3_v2.png,human,4,0:00:25,No specific strategy really.,"Some were challenging, but not too hard.",,40,no answer,Data Processor,>20,Right,1,1,2,6,6,Yes. The place I used to work had a robot that stacked and wrapped pallets.,227,
pick up the only yellow block,Configuration_1_v1.png,human,5,0:00:18,No specific strategy really.,"Some were challenging, but not too hard.",,40,no answer,Data Processor,>20,Right,1,1,2,6,6,Yes. The place I used to work had a robot that stacked and wrapped pallets.,227,
Pick up the orange block that is to the bottom left of the furthest right blue block,Configuration_10_v2.png,human,4,0:00:42,No specific strategy really.,"Some were challenging, but not too hard.",,40,no answer,Data Processor,>20,Right,1,1,2,6,6,Yes. The place I used to work had a robot that stacked and wrapped pallets.,227,
Pick up the blue block above the bottom most yellow block,Configuration_7_v1.png,human,4,0:00:24,No specific strategy really.,"Some were challenging, but not too hard.",,40,no answer,Data Processor,>20,Right,1,1,2,6,6,Yes. The place I used to work had a robot that stacked and wrapped pallets.,227,
Pick up the blue block that is above the bottommost green block.,Configuration_14_v2.png,human,4,0:00:26,No specific strategy really.,"Some were challenging, but not too hard.",,40,no answer,Data Processor,>20,Right,1,1,2,6,6,Yes. The place I used to work had a robot that stacked and wrapped pallets.,227,
Pick up the upper most green block,Configuration_9_v1.png,human,5,0:00:15,No specific strategy really.,"Some were challenging, but not too hard.",,40,no answer,Data Processor,>20,Right,1,1,2,6,6,Yes. The place I used to work had a robot that stacked and wrapped pallets.,227,
Pick up the purple block located directly next to a purple and orange block on your left side.,Configuration_2_v2.png,robot,2,0:00:33,"I tried to use four quadrants close, far, left, and right.","Some were far more challenging than others, others were fairly simple and easy to take care of.",N/A thanks!,27,male,CFO,>20,Right,1,2,4,6,2,"No, I have not.",226,
Pick the green block in the middle of the horizontal line of green blocks.,Configuration_8_v1.png,robot,1,0:02:42,"I tried to use four quadrants close, far, left, and right.","Some were far more challenging than others, others were fairly simple and easy to take care of.",N/A thanks!,27,male,CFO,>20,Right,1,2,4,6,2,"No, I have not.",226,
Pick the yellow block furthest from you.,Configuration_5_v2.png,robot,5,0:00:10,"I tried to use four quadrants close, far, left, and right.","Some were far more challenging than others, others were fairly simple and easy to take care of.",N/A thanks!,27,male,CFO,>20,Right,1,2,4,6,2,"No, I have not.",226,
Pick the yellow block to the left of the purple block furthest to your right.,Configuration_4_v1.png,robot,3,0:00:28,"I tried to use four quadrants close, far, left, and right.","Some were far more challenging than others, others were fairly simple and easy to take care of.",N/A thanks!,27,male,CFO,>20,Right,1,2,4,6,2,"No, I have not.",226,
Pick up the orange block closest to you.,Configuration_10_v2.png,robot,5,0:00:26,"I tried to use four quadrants close, far, left, and right.","Some were far more challenging than others, others were fairly simple and easy to take care of.",N/A thanks!,27,male,CFO,>20,Right,1,2,4,6,2,"No, I have not.",226,
Pick up the purple block furthest to the right.,Configuration_14_v1.png,robot,5,0:00:10,"I tried to use four quadrants close, far, left, and right.","Some were far more challenging than others, others were fairly simple and easy to take care of.",N/A thanks!,27,male,CFO,>20,Right,1,2,4,6,2,"No, I have not.",226,
Pick up the green block closest to you.,Configuration_1_v2.png,robot,5,0:00:11,"I tried to use four quadrants close, far, left, and right.","Some were far more challenging than others, others were fairly simple and easy to take care of.",N/A thanks!,27,male,CFO,>20,Right,1,2,4,6,2,"No, I have not.",226,
Pick up the yellow block surrounded on 3 sides by green blocks.,Configuration_11_v1.png,robot,2,0:00:15,"I tried to use four quadrants close, far, left, and right.","Some were far more challenging than others, others were fairly simple and easy to take care of.",N/A thanks!,27,male,CFO,>20,Right,1,2,4,6,2,"No, I have not.",226,
Pick up the green block closest to you.,Configuration_9_v2.png,robot,5,0:00:12,"I tried to use four quadrants close, far, left, and right.","Some were far more challenging than others, others were fairly simple and easy to take care of.",N/A thanks!,27,male,CFO,>20,Right,1,2,4,6,2,"No, I have not.",226,
Pick up the blue block furthest to your left.,Configuration_7_v1.png,robot,5,0:16:50,"I tried to use four quadrants close, far, left, and right.","Some were far more challenging than others, others were fairly simple and easy to take care of.",N/A thanks!,27,male,CFO,>20,Right,1,2,4,6,2,"No, I have not.",226,
Pick up the yellow block directly to the right of the green block that is closest to you.,Configuration_13_v2.png,robot,2,0:00:23,"I tried to use four quadrants close, far, left, and right.","Some were far more challenging than others, others were fairly simple and easy to take care of.",N/A thanks!,27,male,CFO,>20,Right,1,2,4,6,2,"No, I have not.",226,
Pick up the green block closest to you.,Configuration_3_v1.png,robot,5,0:00:13,"I tried to use four quadrants close, far, left, and right.","Some were far more challenging than others, others were fairly simple and easy to take care of.",N/A thanks!,27,male,CFO,>20,Right,1,2,4,6,2,"No, I have not.",226,
Pick up the green block directly in front of the orange block.,Configuration_6_v2.png,robot,2,0:00:58,"I tried to use four quadrants close, far, left, and right.","Some were far more challenging than others, others were fairly simple and easy to take care of.",N/A thanks!,27,male,CFO,>20,Right,1,2,4,6,2,"No, I have not.",226,
"Pick up the blue block furthest from you, on your left.",Configuration_12_v1.png,robot,4,0:00:25,"I tried to use four quadrants close, far, left, and right.","Some were far more challenging than others, others were fairly simple and easy to take care of.",N/A thanks!,27,male,CFO,>20,Right,1,2,4,6,2,"No, I have not.",226,
"Directly in front of you is an orange block between a yellow and blue block. Please pick up that orange block, which is above the yellow block in front of you.",Configuration_10_v2.png,human,3,0:01:23,"No, I just tried to describe the location of the indicated block as precisely as possible.",It was a little difficult to use the right words to correctly describe where the block was.,,42,female,Medical Records Technician,>20,Right,1,1,1,4,3,No,93,
"I want you to pick up a certain green block. There are two green blocks directly in front of you, pick up the one in the middle of the row of three green blocks above those.",Configuration_8_v1.png,human,1,0:06:43,"No, I just tried to describe the location of the indicated block as precisely as possible.",It was a little difficult to use the right words to correctly describe where the block was.,,42,female,Medical Records Technician,>20,Right,1,1,1,4,3,No,93,
Pick up the green block directly in front of you.,Configuration_1_v2.png,human,5,0:00:25,"No, I just tried to describe the location of the indicated block as precisely as possible.",It was a little difficult to use the right words to correctly describe where the block was.,,42,female,Medical Records Technician,>20,Right,1,1,1,4,3,No,93,
In front of your left side are two blue blocks beside an orange one. Pick up the the blue block in between the orange one and the blue one.,Configuration_2_v1.png,human,3,0:01:15,"No, I just tried to describe the location of the indicated block as precisely as possible.",It was a little difficult to use the right words to correctly describe where the block was.,,42,female,Medical Records Technician,>20,Right,1,1,1,4,3,No,93,
Pick up the blue block directly in front of me.,Configuration_12_v2.png,human,4,0:00:23,"No, I just tried to describe the location of the indicated block as precisely as possible.",It was a little difficult to use the right words to correctly describe where the block was.,,42,female,Medical Records Technician,>20,Right,1,1,1,4,3,No,93,
"In front of me are three orange blocks. Pick up the one in the middle, the one closest to you.",Configuration_13_v1.png,human,4,0:00:38,"No, I just tried to describe the location of the indicated block as precisely as possible.",It was a little difficult to use the right words to correctly describe where the block was.,,42,female,Medical Records Technician,>20,Right,1,1,1,4,3,No,93,
In front of you is a green block. It is right in the middle of the collection of blocks. Please pick up the blue block that is right above that green block.,Configuration_14_v2.png,human,3,0:00:58,"No, I just tried to describe the location of the indicated block as precisely as possible.",It was a little difficult to use the right words to correctly describe where the block was.,,42,female,Medical Records Technician,>20,Right,1,1,1,4,3,No,93,
"In front of you, on your left side are two green blocks close together. I want you to pick up the green block that is right above those two.",Configuration_6_v1.png,human,4,0:00:52,"No, I just tried to describe the location of the indicated block as precisely as possible.",It was a little difficult to use the right words to correctly describe where the block was.,,42,female,Medical Records Technician,>20,Right,1,1,1,4,3,No,93,
"Pick up the green block that is closest to you, the one right in front of you.",Configuration_9_v2.png,human,4,0:00:32,"No, I just tried to describe the location of the indicated block as precisely as possible.",It was a little difficult to use the right words to correctly describe where the block was.,,42,female,Medical Records Technician,>20,Right,1,1,1,4,3,No,93,
"In front of me, on my right side is a yellow block and an orange one to the right of it, beside it. Pick up that orange block",Configuration_5_v1.png,human,2,0:01:28,"No, I just tried to describe the location of the indicated block as precisely as possible.",It was a little difficult to use the right words to correctly describe where the block was.,,42,female,Medical Records Technician,>20,Right,1,1,1,4,3,No,93,
"In front of me, to my right, are two green blocks. Pick up the first green block you see.",Configuration_7_v2.png,human,3,0:01:02,"No, I just tried to describe the location of the indicated block as precisely as possible.",It was a little difficult to use the right words to correctly describe where the block was.,,42,female,Medical Records Technician,>20,Right,1,1,1,4,3,No,93,
"Directly in front of you is a yellow block. Pick up the next yellow block you see, the one right in front of the first.",Configuration_11_v1.png,human,4,0:00:43,"No, I just tried to describe the location of the indicated block as precisely as possible.",It was a little difficult to use the right words to correctly describe where the block was.,,42,female,Medical Records Technician,>20,Right,1,1,1,4,3,No,93,
"Looking at the blocks, on your right side is an orange block with two yellow ones above it. Pick up the yellow block at the very top, the one before you get to the blue one.",Configuration_4_v2.png,human,2,0:01:29,"No, I just tried to describe the location of the indicated block as precisely as possible.",It was a little difficult to use the right words to correctly describe where the block was.,,42,female,Medical Records Technician,>20,Right,1,1,1,4,3,No,93,
"Right in front of you is a green block, pick that one up.",Configuration_3_v1.png,human,5,0:00:23,"No, I just tried to describe the location of the indicated block as precisely as possible.",It was a little difficult to use the right words to correctly describe where the block was.,,42,female,Medical Records Technician,>20,Right,1,1,1,4,3,No,93,
Narrow search to just orange blocks. Look for the orange block that is closest to you. Pick it up.,Configuration_10_v2.png,robot,4,0:01:04,I found that right and left directions were extremely helpful and I described the blocks in question in terms of the edges of the table.,I thought that the blocks that were nearer to the middle of the table in every direction was the most difficult to answer.,,29,female,Customer Service Representative,15-20,Right,1,1,2,5,5,,92,
Narrow search for only green blocks. Look for the green block that is furthest away from you.,Configuration_9_v1.png,robot,5,0:00:39,I found that right and left directions were extremely helpful and I described the blocks in question in terms of the edges of the table.,I thought that the blocks that were nearer to the middle of the table in every direction was the most difficult to answer.,,29,female,Customer Service Representative,15-20,Right,1,1,2,5,5,,92,
Narrow search to only blue blocks. Look for the blue blocks that are closest to you. Pick up the one that is second-closest to you.,Configuration_14_v2.png,robot,3,0:01:28,I found that right and left directions were extremely helpful and I described the blocks in question in terms of the edges of the table.,I thought that the blocks that were nearer to the middle of the table in every direction was the most difficult to answer.,,29,female,Customer Service Representative,15-20,Right,1,1,2,5,5,,92,
Narrow search to only yellow blocks. Find the only yellow block in the pile. Pick it up.,Configuration_1_v1.png,robot,5,0:00:25,I found that right and left directions were extremely helpful and I described the blocks in question in terms of the edges of the table.,I thought that the blocks that were nearer to the middle of the table in every direction was the most difficult to answer.,,29,female,Customer Service Representative,15-20,Right,1,1,2,5,5,,92,
Narrow search to only yellow blocks. Look at the yellow blocks closest to the right of the table. Look for the fourth-closest to the right of the table. Pick it up.,Configuration_4_v2.png,robot,1,0:01:03,I found that right and left directions were extremely helpful and I described the blocks in question in terms of the edges of the table.,I thought that the blocks that were nearer to the middle of the table in every direction was the most difficult to answer.,,29,female,Customer Service Representative,15-20,Right,1,1,2,5,5,,92,
Narrow search for only green blocks. Find the green block that is closest to you. Pick it up.,Configuration_3_v1.png,robot,5,0:00:54,I found that right and left directions were extremely helpful and I described the blocks in question in terms of the edges of the table.,I thought that the blocks that were nearer to the middle of the table in every direction was the most difficult to answer.,,29,female,Customer Service Representative,15-20,Right,1,1,2,5,5,,92,
Narrow search to only green blocks. Find the green block that is closest to the left edge of the table. Pick it up.,Configuration_7_v2.png,robot,5,0:00:34,I found that right and left directions were extremely helpful and I described the blocks in question in terms of the edges of the table.,I thought that the blocks that were nearer to the middle of the table in every direction was the most difficult to answer.,,29,female,Customer Service Representative,15-20,Right,1,1,2,5,5,,92,
